Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
EAF|3635|ISOPROPYLAMINE|75-31-0|
NIL|0792|ISOPROPYL BENZOATE|939-48-0|172.515
ASP|0793|P-ISOPROPYLBENZYL ALCOHOL|536-60-7|172.515
ASP|0794|ISOPROPYL BUTYRATE|638-11-9|172.515
ASP|0795|ISOPROPYL CINNAMATE|7780-06-5|172.515
ASP|2248|ISOPROPYL CITRATE|39413-05-3|166.110,184.1386
EAF|3263|ISOPROPYL-2-CYCLOHEXENONE|500-02-7|
EAF|4069|5-ISOPROPYL-2,6-DIETHYL-2-METHYLTETRAHYDRO-2H-PYRAN|1120363-98-5|
ASP|3003|2(4)-ISOPROPYL-4(2),6-DIMETHYLDIHYDRO-4H-1,3,5-DITHIAZINE|977161-99-1|
ASP|0796|ISOPROPYL FORMATE|625-55-8|172.515
ASP|0797|ISOPROPYL HEXANOATE|2311-46-8|172.515
EAF|4002|ISOPROPYLIDENEGLYCERYL 5-HYDROXYDECANOATE|172201-58-0|
ASP|0798|ISOPROPYL ISOBUTYRATE|617-50-5|172.515
EAF|3818|ISOPROPYL ISOTHIOCYANATE|2253-73-8|
ASP|0799|ISOPROPYL ISOVALERATE|32665-23-9|172.515
EAF|3657|S-ISOPROPYL 3-METHYLBUT-2-ENETHIOATE|34365-79-2|
EAF|2249|ISOPROPYL 2-METHYLBUTYRATE|66576-71-4|
ASP|0800|2-ISOPROPYL-5-METHYL-2-HEXENAL|35158-25-9|
EAF|3727|(+/-)-[R-(E)]-5-ISOPROPYL-8-METHYLNONA-6,8-DIEN-2-ONE|2278-53-7|
ASP|0801|2-ISOPROPYL-4-METHYLTHIAZOLE|15679-13-7|
ASP|0802|ISOPROPYL MYRISTATE|110-27-0|
ASP|0803|ISOPROPYL PALMITATE|142-91-6|
ASP|0804|2-ISOPROPYLPHENOL|88-69-7|
ASP|0805|P-ISOPROPYLPHENYLACETALDEHYDE|4395-92-0|172.515
ASP|0806|ISOPROPYL PHENYLACETATE|4861-85-2|172.515
ASP|0807|3-(P-ISOPROPYLPHENYL)PROPIONALDEHYDE|7775-00-0|172.515
ASP|0808|ISOPROPYL PROPIONATE|637-78-5|172.515
EAF|3264|2-ISOPROPYLPYRAZINE|29460-90-0|
ASP|0809|ISOPROPYL TIGLATE|1733-25-1|
EAF|3051|2-ISOPROPYL-N,2,3-TRIMETHYLBUTYRAMIDE|51115-67-4|
ASP|0810|ISOPULEGOL|89-79-2|172.515
ASP|0811|ISOPULEGONE|29606-79-9|172.515
ASP|0812|ISOPULEGYL ACETATE|89-49-6|172.515
EAF|3622|ISOQUERCITRIN, ENZYMATICALLY MODIFIED|977187-64-6|
ASP|0813|ISOQUINOLINE|119-65-3|172.515
EAF|3767|ISOVALERALDEHYDE DIETHYL ACETAL|3842-03-3|
EAF|3774|ISOVALERALDEHYDE GLYCERYL ACETAL|977188-22-9|
ASP|0814|ISOVALERIC ACID|503-74-2|172.515
NUL|2250|IVA (ACHILLEA MOSCHATA JACQ.)|977091-61-4|172.510
NUL|2251|IVA, EXTRACT (ACHILLEA MOSCHATA JACQ.)|977091-62-5|172.510
ASP|3004|JAMBU OLEORESIN|977162-66-5|
NUL|2252|JAPAN WAX|8001-39-6|175.105,175.350,176.170,186.1555,73.1
ASP|2253|JASMINE, ABSOLUTE (JASMINUM SPP.)|977146-68-1|182.20
EAF|2254|JASMINE, CONCRETE (JASMINUM SPP.)|977125-38-4|182.20
EAF|2255|JASMINE, OIL (JASMINUM GRANDIFLORUM L.)|8022-96-6|182.20
EAF|2256|JASMINE, SPIRITUS (JASMINUM GRANDIFLORUM L.)|977038-79-1|182.20
ASP|1019|JASMONE, CIS-|488-10-8|172.515
ASP|0815|JELUTONG (DYERA COSTULATA HOOK, F. AND D. LOWII HOOK, F.)|977011-44-1|172.615
ASP|2257|JUNIPER (BERRIES) (JUNIPERUS COMMUNIS L.)|977038-80-4|
NIL|2258|JUNIPER, EXTRACT (JUNIPERUS COMMUNIS L.)|84603-69-0|182.20
ASP|2259|JUNIPER OIL (JUNIPERUS COMMUNIS L.)|8002-68-4|182.20
ASP|2260|KARAYA, GUM (STERCULIA URENS ROXB.)|9000-36-6|133.178,133.179,150.141,150.161,184.1349
ASP|1637|KELP|977001-75-4|172.365,184.1120
ASP|0816|2-KETO-4-BUTANETHIOL|34619-12-0|
ASP|0817|ALPHA-KETOBUTYRIC ACID|600-18-0|
ASP|2261|KOLA NUT, EXTRACT (COLA ACUMINATA SCHOTT ET ENDL.)|68916-19-8|182.20
ASP|2262|LABDANUM, ABSOLUTE (CISTUS SPP.)|977046-98-2|172.510
EAF|2263|LABDANUM, OIL (CISTUS SPP.)|8016-26-0|172.510
EAF|2264|LABDANUM, OLEORESIN (CISTUS SPP.)|977092-72-0|172.510
ASP|2265|LACTALBUMIN|9013-90-5|131.111,131.112,131.170,131.200,131.203,131.206
NIL|2266|LACTALBUMIN PHOSPHATE|977051-00-5|
NUL|2267|LACTASE FROM SACCHAROMYCES FRAGILIS|977090-10-0|
NUL|2268|LACTASE FROM SACCHAROMYCES (KLUYVEROMYCES) LACTIS|977090-11-1|184.1388
EAF|3040|LACTASE PREPARATION, CANDIDA PSEUDOTROPICALIS|977166-26-9|184.1387
ASP|1613|LACTIC ACID|50-21-5|133.123,133.124,133.129,133.169,133.173,133.178,133.179,150.141,150.161,172.814,178.1010,184.1061
ASP|2269|LACTOSE|63-42-3|131.112,131.170,131.200,131.203,131.206,168.122,169.179,169.182
NUL|2960|LACTOSE, HYDROLYZED|977126-93-4|133.124,133.178,133.179
EAF|3653|N-LACTOYL ETHANOLAMINE|5422-34-4|
EAF|3654|N-LACTOYL ETHANOLAMINE PHOSPHATE|782498-03-7|
ASP|0818|LACTYLATED FATTY ACID ESTERS OF GLYCEROL AND PROPYLENE GLYCOL|977050-66-0|172.850
ASP|0819|LACTYLIC ESTERS OF FATTY ACIDS|977050-67-1|172.848
ASP|0820|LANOLIN|8020-84-6|172.615,175.300,176.170,176.180,176.210,177.1200,177.2600,178.3910
EAF|2270|LARD|61789-99-9|182.70
ASP|2272|LARD OIL|8016-28-2|176.210,182.70
NIL|2273|LAUREL BERRIES (LAURUS NOBILIS L.)|977051-01-6|
ASP|0821|LAURIC ACID|143-07-7|172.210,172.860,173.340
ASP|0822|LAURIC ALDEHYDE|112-54-9|172.515
ASP|0308|LAUROYL DIETHANOLAMIDE|120-40-1|173.315,176.180,178.3130
ASP|0823|LAURYL ACETATE|112-66-3|172.515
ASP|0824|LAURYL ALCOHOL|112-53-8|172.515,172.864,175.105,175.300,177.1200,177.1390,178.3480
EAF|3158|LAVANDIN ABSOLUTE|977183-98-4|182.20
EAF|3159|LAVANDIN, CONCRETE|977183-99-5|182.20
EAF|2275|LAVANDIN, OIL|8022-15-9|182.20
ASP|2276|LAVENDER, ABSOLUTE (LAVANDULA OFFICINALIS CHAIX)|977126-26-3|182.20
ASP|2277|LAVENDER, CONCRETE (LAVANDULA OFFICINALIS CHAIX)|977089-32-9|182.20
ASP|2278|LAVENDER (LAVANDULA OFFICINALIS CHAIX)|977001-82-3|182.10
ASP|2279|LAVENDER, OIL (LAVANDULA OFFICINALIS CHAIX)|8000-28-0|182.20
NUL|2280|LAVENDER, SPIKE (LAVANDULA LATIFOLIA BILL.)|977051-05-0|182.20
ASP|2281|LAVENDER, SPIKE, OIL (LAVANDULA SPP.)|8016-78-2|182.20
ASP|0825|LECHE CASPI (COUMA MACROCARPA BARB. RODR.)|977011-45-2|172.615
ASP|0826|LECHE DE VACA (BROSIMUM UTILE (H.B.K.) PITTIER, AND POULSENIA SPP.)|977011-46-3|172.615
ASP|2282|LECITHIN|8002-43-5|133.169,133.173,133.179,136.110,169.115,169.140,169.150,175.300,176.170,184.1400
ASP|2283|LECITHIN, BENZOYL PEROXIDE MODIFIED|977092-75-3|184.1400
EAF|3069|LECITHIN, ENZYME-MODIFIED|977101-55-5|184.1063
ASP|2284|LECITHIN, HYDROGEN PEROXIDE MODIFIED|977092-76-4|
NUL|2285|LECITHIN (VEGETABLE)|977092-24-2|184.1400
EAF|2286|LEEK OIL|977089-43-2|
ASP|2287|LEMON ESSENCE|977091-76-1|146.114,182.20
ASP|2288|LEMON, EXTRACT (CITRUS LIMON (L.) BURM. F.)|84929-31-7|182.20
ASP|2289|LEMON GRASS, OIL (CYMBOPOGON CITRATUS DC. AND CYMBOPOGON FLEXUOSUSSTAPF)|8007-02-1|182.20
EAF|3163|LEMON, JUICE|68916-88-1|145.115,145.125,145.130,145.134,145.135,145.140,145.145,145.170,145.175,145.185,145.190,146.114,146.120,146.187,150.141,150.161,155.120,155.130,155.170,155.191,155.194,155.200,169.115,169.140,169.150,182.20
ASP|2290|LEMON, OIL (CITRUS LIMON (L.) BURM. F.)|8008-56-8|146.114,146.120,161.190,172.230,173.240,182.20
ASP|2291|LEMON, OIL, TERPENELESS (CITRUS LIMON (L.) BURM. F.)|68648-39-5|182.20
ASP|2292|LEMON PEEL EXTRACT|977091-77-2|182.20
ASP|2293|LEMON PEEL GRANULES|977001-83-4|
ASP|3066|LEMON TERPENES|68917-33-9|
ASP|2294|LEMON-VERBENA (LIPPIA CITRIODORA HBK.)|977047-96-3|172.510
EAF|3167|LEMON VERBENA, OIL (LIPPIA CITRIODORA)|8024-12-2|172.510
NIL|2393|LEPIDINE|491-35-0|172.515
ASP|0827|L-LEUCINE|61-90-5|172.320,172.804
ASP|0828|LEVULINIC ACID|123-76-2|172.515
ASP|2295|LEVULOSE|57-48-7|101.9,131.111,131.112,131.170,131.200,131.203,131.206,133.179,146.132,155.170
EAF|3911|L-FENCHONE|7787-20-4|
ASP|2296|LICORICE EXTRACT (GLYCYRRHIZA SPP.)|68916-91-6|184.1408
ASP|2297|LICORICE EXTRACT POWDER (GLYCYRRHIZA SPP.)|977070-62-4|184.1408
ASP|2298|LICORICE (GLYCYRRHIZA SPP.)|977004-31-1|184.1408
NUL|2299|LIGNIN|9005-53-2|
ASP|1403|LIGNIN SODIUM SULFONATE|8061-51-6|173.310,175.105,176.170,176.180,176.210,177.1210
ASP|0829|LIGNOSULFONIC ACID|8062-15-5|173.310
ASP|3168|LIME, ESSENCE|977164-71-8|182.20
ASP|3169|LIME, JUICE|977026-98-4|146.187,150.141,150.161,169.115,169.140,169.150,182.20
NUL|2300|LIME JUICE, DEHYDRATED|977091-78-3|182.20
ASP|2301|LIME OIL, DISTILLED|8008-26-2|172.230,182.20
ASP|2302|LIME OIL, EXPRESSED|977059-80-5|182.20
ASP|2303|LIME, OIL, TERPENELESS (CITRUS AURANTIFOLIA (CHRISTMAN) SWINGLE)|68916-84-7|182.20
ASP|0832|L-LIMONENE|5989-54-8|182.60
ASP|0830|D-LIMONENE|5989-27-5|182.60
NUL|0831|DL-LIMONENE|7705-14-8|175.300,175.320,182.60
ASP|2304|LINALOE WOOD, OIL (BURSERA DELPECHIANA POISS. AND OTHER BURSERA SPP.)|977051-12-9|172.510
ASP|0833|LINALOOL|78-70-6|182.60
ASP|0834|LINALOOL OXIDE|60047-17-8|172.515
EAF|3985|LINALOOL OXIDE PYRANOID|14049-11-7|
ASP|0835|LINALYL ACETATE|115-95-7|182.60
ASP|0836|LINALYL ANTHRANILATE|7149-26-0|172.515
ASP|0837|LINALYL BENZOATE|126-64-7|172.515
ASP|0838|LINALYL BUTYRATE|78-36-4|172.515
ASP|0839|LINALYL CINNAMATE|78-37-5|172.515
ASP|0840|LINALYL FORMATE|115-99-1|172.515
ASP|0841|LINALYL HEXANOATE|7779-23-9|172.515
ASP|0842|LINALYL ISOBUTYRATE|78-35-3|172.515
ASP|0843|LINALYL ISOVALERATE|1118-27-0|172.515
EAF|0844|LINALYL OCTANOATE|10024-64-3|172.515
ASP|0845|LINALYL PHENYLACETATE|7143-69-3|
ASP|0846|LINALYL PROPIONATE|144-39-8|172.515
ASP|2305|LINDEN FLOWERS, EXTRACT (TILIA SPP.)|84929-52-2|182.20
NIL|2306|LINDEN FLOWERS (TILIA GLABRA VENT.)|977009-77-0|182.10
NUL|2307|LINDEN LEAVES (TILLIA SPP.)|977073-42-9|172.510
ASP|2308|LINOLEIC ACID|60-33-3|184.1065
ASP|2309|LIPASE|9001-62-1|
ASP|2310|LIPASE FROM ANIMAL TISSUE|977033-78-5|184.1415
ASP|2311|LIPASE FROM ASPERGILLUS NIGER|977031-56-3|
ASP|2312|LIPASE FROM ASPERGILLUS ORYZAE|977031-68-7|
EAF|3243|LIPASE FROM RHIZOPUS NIVEUS|977169-69-9|184.1420
EAF|1738|LISTERIA-SPECIFIC BACTERIOPHAGE PREPARATION|977188-21-8|172.785
EAF|3342|LITSEA CUBEBA BERRY OIL|68855-99-2|
EAF|3916|L-MENTHYL BUTYRATE|68366-64-3|
ASP|1856|LOCUST (CAROB) BEAN GUM|9000-40-2|133.178,133.179,150.141,150.161,182.20,184.1343,186.1343,240.1051
ASP|2313|LOVAGE, EXTRACT (LEVISTICUM OFFICINALE KOCH)|977091-63-6|172.510
ASP|2314|LOVAGE (LEVISTICUM OFFICINALE KOCH)|977048-47-7|172.510
ASP|2315|LOVAGE, OIL (LEVISTICUM OFFICINALE KOCH)|8016-31-7|172.510
EAF|4046|L-8-P-MENTHENE-1,2-EPOXIDE|203719-53-3|
NIL|2316|LUNGMOSS (STICTA PULMONACEA ACH.)|977022-85-7|172.510
EAF|4095|LUO HAN FRUIT CONCENTRATE|977188-77-4|
EAF|2317|LUPULIN (HUMULUS LUPULUS L.)|977051-13-0|
ASP|0847|L-LYSINE|56-87-1|172.320
ASP|2318|MACE (MYRISTICA FRAGRANS HOUTT.)|977051-14-1|101.22,182.10
ASP|2319|MACE, OIL (MYRISTICA FRAGRANS HOUTT.)|977051-15-2|182.20
ASP|2320|MACE, OLEORESIN (MYRISTICA FRAGRANS HOUTT.)|977010-60-8|182.20
NUL|2321|MAGNESIUM CAPRATE|42966-30-3|172.863,175.300
NUL|2322|MAGNESIUM CAPRYLATE|3386-57-0|172.863,175.300
ASP|2323|MAGNESIUM CARBONATE|39409-82-0|133.102,133.106,133.111,133.141,133.165,133.181,133.183,133.195,137.105,155.170,163.110,163.111,163.112,177.2600,184.1425
ASP|2324|MAGNESIUM CHLORIDE|7786-30-3|172.560,177.1650,184.1426
BAN|2325|MAGNESIUM CYCLAMATE--PROHIBITED|7757-85-9|189.135
NUL|2326|MAGNESIUM FUMARATE|7704-71-4|172.350
ASP|2327|MAGNESIUM GLUCONATE|3632-91-5|
NUL|2328|MAGNESIUM GLYCEROPHOSPHATE|927-20-8|175.105,175.300,181.29
ASP|2329|MAGNESIUM HYDROXIDE|1309-42-8|155.170,176.180,176.210,184.1428
NUL|2330|MAGNESIUM LAURATE|4040-48-6|172.863
NUL|2331|MAGNESIUM MYRISTATE|4086-70-8|172.863
NUL|2332|MAGNESIUM OLEATE|1555-53-9|172.863,175.300
ASP|2333|MAGNESIUM OXIDE|1309-48-4|155.170,163.110,163.111,163.112,175.300,176.170,177.1680,177.2260,177.2400,177.2600,178.1010,178.3297,184.1431
NUL|2334|MAGNESIUM PALMITATE|2601-98-1|172.863,175.300
ASP|2335|MAGNESIUM PHOSPHATE, DIBASIC|7782-75-4|175.300,181.29,184.1434
NUL|2336|MAGNESIUM PHOSPHATE, TRIBASIC|7757-87-1|175.300,184.1434
ASP|2337|MAGNESIUM SALTS OF FATTY ACIDS|977093-38-1|172.863,175.105,178.3910
ASP|2338|MAGNESIUM SILICATE|1343-88-0|169.179,182.2437
ASP|2339|MAGNESIUM STEARATE|557-04-0|172.863,173.340,175.300,179.45,181.29,184.1440
ASP|2340|MAGNESIUM SULFATE|10034-99-8|184.1443
EAF|3951|MAGNOLOL|528-43-8|
NUL|2341|MAIDENHAIR FERN (ADIANTUM CAPILLUS-VENERIS L.)|977070-30-6|172.510
ASP|1614|L-MALIC ACID|97-67-6|150.141,150.161,169.115,169.140,169.150,184.1069
ASP|2342|MALIC ACID|617-48-1|184.1069
EAF|2343|MALT|977023-73-6|172.725,184.1443A
ASP|2347|MALTODEXTRIN|9050-36-6|184.1444
ASP|0848|MALTOL|118-71-8|172.515
EAF|3274|MALTOL PROPIONATE|68555-63-5|
ASP|2348|MALTOSE|69-79-4|131.112,131.170,131.200,131.203,131.206,133.124,133.178,133.179
ASP|2345|MALT SYRUP (MALT EXTRACT)|8002-48-0|131.111,131.112,131.124,131.170,131.200,131.203,131.206,133.124,133.178,133.179,184.1445,73.85
ASP|0849|MALTYL ISOBUTYRATE|65416-14-0|
ASP|2349|MANDARIN, OIL (CITRUS RETICULATA BLANCO)|8008-31-9|182.20
ASP|2350|MANGANESE CHLORIDE|13446-34-9|184.1446,582.80
NUL|2351|MANGANESE CITRATE|10024-66-5|182.5449,184.1449
ASP|2352|MANGANESE GLUCONATE|6485-39-8|184.1452,582.80
NUL|2353|MANGANESE GLYCEROPHOSPHATE|1320-46-3|
NUL|2354|MANGANESE HYPOPHOSPHITE|10043-84-2|582.5458
ASP|2355|MANGANESE SULFATE|10034-96-5|184.1461,582.80
NUL|2356|MANGANOUS OXIDE|1344-43-0|582.80
ASP|2357|MANNITOL|69-65-8|100.130,101.80,101.9,175.300,175.320,177.1390,177.2420,180.25
NIL|2359|MARIGOLD, POT (CALENDULA OFFICINALIS L.)|977001-93-6|182.10
ASP|2360|MARJORAM, OLEORESIN (MARJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))|977038-85-9|182.20
ASP|2364|MARJORAM, POT (MAJORANA ONITES (L.) BENTH. (ORIGANUM VULGARE L.))|977051-22-1|182.10
NIL|2361|MARJORAM SEED (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))|977038-86-0|182.10
ASP|2362|MARJORAM, SWEET (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))|977051-23-2|101.22,182.10
ASP|2363|MARJORAM, SWEET, OIL (MAJORANA HORTENSIS MOENCH (ORIGANUM MAJORANA L.))|8015-01-8|182.20
ASP|0850|MASSARANDUBA BALATA (MANILKARA HUBERI (DUCKE) CHEVALIER)|977011-47-4|172.615
ASP|0851|MASSARANDUBA BALATA, SOLVENT-FREE RESIN EXTRACT|977044-53-3|172.615
ASP|0852|MASSARANDUBA CHOCOLATE (MANILKARA SOLIMOESENSIS GILLY)|8029-83-2|172.615
NUL|2365|MASSOIA BARK OIL|977103-80-2|
NUL|2366|MASTIC GUM|61789-92-2|
ASP|2367|MATE, ABSOLUTE (ILEX PARAGUARIENSIS ST. HIL.)|977146-67-0|182.20
ASP|2368|MATE, LEAVES|977051-24-3|
NUL|2369|MENADIOL SODIUM DIPHOSPHATE|131-13-5|
EAF|3239|MENHADEN OIL|8002-50-4|184.1472
NUL|2961|MENHADEN OIL, HYDROGENATED|93572-53-3|184.1472
NUL|2962|MENHADEN OIL, PARTIALLY HYDROGENATED|977131-05-7|184.1472
EAF|3804|D-2,8-P-MENTHADIEN-1-OL|22771-44-4|
NIL|0853|MENTHADIENOL|3269-90-7|172.515
ASP|0854|P-MENTHA-1,8-DIEN-7-OL|536-59-4|172.515
NIL|0855|CIS- AND TRANS-P-1(7),8-MENTHADIEN-2-YL ACETATE|15111-97-4|172.515
ASP|0856|P-MENTHAN-2-ONE|499-70-7|
ASP|0857|P-MENTHA-8-THIOL-3-ONE|38462-22-5|
NIL|0858|P-MENTH-1-ENE-9-AL|29548-14-9|
EAF|3803|8-P-MENTHENE-1,2-DIOL|1946-00-5|
EAF|2370|1-P-MENTHENE-8-THIOL|71159-90-5|
NIL|0859|P-MENTH-1-EN-3-OL|491-04-3|
NIL|0860|P-MENTH-3-EN-1-OL|586-82-3|172.515
ASP|0861|1-P-MENTHEN-9-YL ACETATE|28839-13-6|172.515
ASP|0862|MENTHOL|89-78-1|172.515,182.20
ASP|0863|MENTHONE|89-80-5|172.515
EAF|3055|MENTHONE 1,2-GLYCEROL KETAL|63187-91-7|
EAF|3054|L-MENTHONE 1,2-GLYCEROL KETAL|977178-02-1|
NIL|3056|MENTHONE-8-THIOACETATE|94293-57-9|
EAF|3557|2-(L-MENTHOXY)ETHANOL|38618-23-4|
EAF|3343|3-(L-MENTHOXY)-2-METHYLPROPANE-1,2-DIOL|195863-84-4|
ASP|3005|3-L-MENTHOXYPROPANE-1,2-DIOL|87061-04-9|
ASP|0864|MENTHYL ACETATE|89-48-5|172.515,182.20
EAF|3723|L-MENTHYL ACETOACETATE|59557-05-0|
EAF|3052|L-MENTHYL ETHYLENE GLYCOL CARBONATE|156324-78-6|
EAF|3901|MENTHYL FORMATE|2230-90-2|
EAF|3704|L-MENTHYL (R,S)-3-HYDROXYBUTYRATE|374629-79-5|
ASP|0865|MENTHYL ISOVALERATE|16409-46-4|172.515
ASP|2371|L-MENTHYL LACTATE|59259-38-0|
EAF|3465|1-MENTHYL METHYL ETHER|1565-76-0|
EAF|4102|2-[2-(P-MENTHYLOXY)ETHOXY]ETHANOL|28804-53-7|
EAF|3902|MENTHYL PROPIONATE|86014-82-6|
EAF|3384|MENTHYL PROPYLENE GLYCOL CARBONATE|156324-82-2|
EAF|3053|L-MENTHYL 1,2-PROPYLENE GLYCOL CARBONATE|30304-82-6|
EAF|3558|MENTHYL PYRROLIDONECARBOXYLATE|52528-10-6|
EAF|3559|MENTHYL VALERATE|89-47-4|
EAF|3562|2-MERCAPTOANISOLE|7217-59-6|
ASP|0866|2-MERCAPTO-3-BUTANOL|54812-86-1|
ASP|0867|3-MERCAPTO-2-BUTANONE|40789-98-8|
EAF|3721|(+/-)-3-MERCAPTO-1-BUTYL ACETATE|89534-38-3|
EAF|3974|2-MERCAPTOETHANOL|60-24-2|177.1020,177.1030,178.2010
EAF|3686|3-MERCAPTOHEPTYL ACETATE|548774-80-7|
EAF|3977|3-MERCAPTOHEXANAL|51755-72-7|
EAF|3276|3-MERCAPTOHEXANOL|51755-83-0|
EAF|3277|3-MERCAPTOHEXYL ACETATE|136954-20-6|
EAF|3278|3-MERCAPTOHEXYL BUTYRATE|136954-21-7|
EAF|3279|3-MERCAPTOHEXYL HEXANOATE|136954-22-8|
EAF|4087|4-MERCAPTO-3-METHYL-2-BUTANOL|33959-27-2|
EAF|3415|3-MERCAPTO-2-METHYL-1-BUTANOL|227456-33-9|
EAF|3280|3-MERCAPTO-3-METHYL-1-BUTANOL|34300-94-2|
EAF|3720|3-MERCAPTO-3-METHYL-1-BUTYL ACETATE|50746-09-3|
EAF|3281|3-MERCAPTO-3-METHYLBUTYL FORMATE|50746-10-6|
EAF|3976|3-MERCAPTO-3-METHYLBUTYL ISOVALERATE|612071-27-9|
EAF|3975|4-MERCAPTO-4-METHYL-2-HEXANONE|851768-52-0|
EAF|3417|3-MERCAPTO-2-METHYLPENTANAL|227456-28-2|
EAF|3416|3-MERCAPTO-2-METHYL-1-PENTANOL|227456-27-1|
EAF|3561|(+/-)-4-MERCAPTO-4-METHYL-2-PENTANOL|31539-84-1|
EAF|3405|2-MERCAPTO-2-METHYL-1-PENTANOL|258823-39-1|
EAF|3427|4-MERCAPTO-4-METHYL-2-PENTANONE|19872-52-7|
ASP|0868|2-MERCAPTOMETHYLPYRAZINE|59021-02-2|
ASP|0869|3-MERCAPTO-2-PENTANONE|67633-97-0|
EAF|3560|4-MERCAPTO-2-PENTANONE|92585-08-5|
ASP|0870|2,3 OR 10-MERCAPTOPINANE|977136-05-2|
EAF|3344|1-MERCAPTO-2-PROPANONE|24653-75-6|
ASP|0871|2-MERCAPTOPROPIONIC ACID|79-42-5|
EAF|3979|3-MERCAPTOPROPIONIC ACID|107-96-0|
EAF|3275|MESQUITE WOOD EXTRACT|93165-66-3|
ASP|2372|METHACRYLIC ACID-DIVINYLBENZENE COPOLYMER|50602-21-6|172.775,173.25,175.105,176.180
EAF|3982|METHIONAL DIETHYL ACETAL|16630-61-8|
ASP|0873|L-METHIONINE|63-68-3|172.320
ASP|0872|DL-METHIONINE|59-51-8|172.320
EAF|3563|METHIONYL BUTYRATE|16630-60-7|
EAF|4081|L-METHIONYLGLYCINE|14486-03-4|
EAF|3566|2-METHOXYACETOPHENONE|579-74-8|
ASP|0879|P-METHOXY-ALPHA-METHYLCINNAMALDEHYDE|65405-67-6|
ASP|0874|O-METHOXYBENZALDEHYDE|135-02-4|172.515
ASP|0875|P-METHOXYBENZALDEHYDE|123-11-5|172.515
EAF|3285|4-METHOXYBENZOIC ACID|100-09-4|
EAF|3283|3-METHOXYBENZOIC ACID|586-38-9|
EAF|3282|2-METHOXYBENZOIC ACID|579-75-9|
ASP|0877|P-METHOXYCINNAMALDEHYDE|1963-36-6|
ASP|0876|O-METHOXYCINNAMALDEHYDE|1504-74-1|172.515
EAF|3564|TRANS- AND CIS-1-METHOXY-1-DECENE|79930-37-3|
EAF|3565|(S1)-METHOXY-3-HEPTANETHIOL|400052-49-5|
ASP|0878|2-METHOXY-(3 OR 5 OR 6)-ISOPROPYLPYRAZINE|93905-03-4|
EAF|3631|N1-(2-METHOXY-4-METHYLBENZYL)-N2-(2-(5-METHYLPYRIDIN-2-YL)ETHYL)OXALAMIDE|745047-94-3|
EAF|3628|N1-(2-METHOXY-4-METHYLBENZYL)-N2-(2-(PYRIDIN-2-YL) ETHYL)OXALAMIDE|745047-97-6|
EAF|3006|4-METHOXY-2-METHYL-2-BUTANETHIOL|94087-83-9|
ASP|0880|2-METHOXY-4-METHYLPHENOL|93-51-6|172.515
ASP|0882|(2 OR 5 OR 6)-METHOXY-3-METHYLPYRAZINE (MIXTURE OF ISOMERS)|977044-49-7|
ASP|0883|4-(P-METHOXYPHENYL)-2-BUTANONE|104-20-1|172.515
ASP|0885|1-(P-METHOXYPHENYL)-1-PENTEN-3-ONE|104-27-8|172.515
EAF|3882|2-METHOXY-6-(2-PROPENYL)PHENOL|579-60-2|
ASP|0887|2-METHOXY-4-PROPYLPHENOL|2785-87-7|
ASP|0881|2-METHOXY-3-(1-METHYLPROPYL)PYRAZINE|24168-70-5|
ASP|0888|METHOXYPYRAZINE|3149-28-8|
EAF|4029|2-METHOXYPYRIDINE|1628-89-3|
EAF|4030|6-METHOXYQUINOLINE|5263-87-6|
ASP|0889|2-METHOXY-4-VINYLPHENOL|7786-61-0|172.515
EAF|3387|METHYL METHACRYLATE|80-62-6|175.105,175.300,175.320,175.360,176.170,176.180,177.1010,177.1030,177.1200,177.1630,177.1830,177.2000,177.2420,177.2465,178.3790
ASP|0890|METHYL ACETATE|79-20-9|172.515,175.105
ASP|0891|4'-METHYLACETOPHENONE|122-00-9|172.515
EAF|3712|2-METHYLACETOPHENONE|577-16-2|
NIL|2373|METHYL 1-ACETOXYCYCLOHEXYL KETONE|52789-73-8|
EAF|3466|(+/-)-METHYL 5-ACETOXYHEXANOATE|35234-22-1|
EAF|3843|METHYL 3-ACETOXY-2-METHYLBUTYRATE|139564-42-4|
EAF|3846|METHYL 3-ACETOXYOCTANOATE|35234-21-0|
EAF|3573|METHYL N-ACETYLANTHRANILATE|2719-08-6|
ASP|0892|1-METHYL-2-ACETYLPYRROLE|932-16-1|
ASP|0953|2-METHYL-3-(2-FURYL)ACROLEIN|874-66-8|
NUL|2374|METHYL ACRYLATE|96-33-3|175.105,175.300,175.320,175.360,175.365,176.170,176.180,177.1010,177.1200,177.1340,177.1480,177.1630,177.1650,177.1990,177.2000,177.2420
NUL|2375|METHYL ACRYLATE-DIVINYLBENZENE, COMPLETELY HYDROLYZED, COPOLYMER|977083-07-0|173.25
NUL|2376|METHYL ACRYLATE-DVB-ACRYLONITRILE, COMPLETELY HYDROLYZED, TERPOLYMER|977092-70-8|173.25
NUL|2378|METHYL ACRYLATE-DVB(3.5%), COPOLYMER, AMINOLYZED WITH DMAPA|977083-10-5|173.25
