Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
ASP|0126|BENZYL PROPIONATE|122-63-4|172.515
ASP|0127|BENZYL SALICYLATE|118-58-1|172.515
ASP|1756|BERGAMOT, OIL (CITRUS AURANTIUM L. SUBSP. BERGAMIA WRIGHT ET ARN.)|8007-75-8|182.20
EAF|3620|BETAINE|107-43-7|
ASP|1757|BIOTIN|58-85-5|101.9,107.100,182.8159
ASP|0128|BIPHENYL|92-52-4|178.2010
ASP|1758|BIRCH, SWEET, OIL (BETULA LENTA L.)|68917-50-0|
ASP|0129|BIRCH TAR, OIL (BETULA PENDULA ROTH AND RELATED BETULA SPP.)|8001-88-5|172.515
ASP|0130|BISABOLENE|495-62-5|
ASP|0131|BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE|28588-73-0|
ASP|0132|BIS(2-METHYL-3-FURYL) DISULFIDE|28588-75-2|
EAF|3694|BIS(1-MERCAPTOPROPYL)SULFIDE|53897-60-2|
EAF|3303|BIS-(METHYLTHIO)METHANE|1618-26-4|
EAF|3968|BIS(2-METHYLPHENYL) DISULFIDE|4032-80-8|
ASP|0133|BIS(2-METHYL-3-FURYL) TETRASULFIDE|28588-76-3|
ASP|1759|BLACKBERRY BARK, EXTRACT (RUBUS, SPP. OF SECTION EUBATUS)|977047-53-2|172.510
ASP|1760|BLACKBERRY FRUIT EXTRACT|84787-69-9|
ASP|1762|BOIS DE ROSE, OIL (ANIBA ROSAEODORA DUCKE)|8015-77-8|182.20
NIL|1763|BOLDUS LEAVES (PEUMUS BOLDUS MOL.)|977052-75-7|172.510
NUL|1764|BONITO, DRIED|977138-71-8|
NUL|1765|BORAX|1303-96-4|175.105,175.210,176.180,177.2800,181.30
NUL|1766|BORIC ACID|10043-35-3|175.105,176.180,178.2010,181.30
ASP|0134|BORNEOL|507-70-0|172.515
EAF|3490|L-BORNYL ACETATE|5655-61-8|
ASP|0135|BORNYL ACETATE|76-49-3|172.515
EAF|3200|BORNYL BUTYRATE|13109-70-1|
ASP|0136|BORNYL FORMATE|7492-41-3|172.515
ASP|0137|BORNYL ISOVALERATE|76-50-6|172.515
NIL|0138|BORNYL VALERATE|7549-41-9|172.515
EAF|1767|BORONIA, ABSOLUTE (BORONIA MEGASTIGMA NEES)|8053-33-6|172.510
ASP|1768|BOUILLON, VEGETABLE, SMOKE|977090-81-5|
NIL|0139|BETA-BOURBONENE|5208-59-3|172.515
ASP|1770|BROMELAIN|9001-00-7|184.1024
ASP|1771|BROMINATED VEGETABLE OIL|8016-94-2|180.30
NUL|1772|BRYONIA ROOT (BRYONIA SPP.)|977000-49-9|172.510
EAF|3106|BUCHU LEAVES (BAROSMA BETULINA AND CRENULATA)|977000-50-2|172.510
EAF|1773|BUCHU LEAVES EXTRACT|977009-82-7|172.510
ASP|1774|BUCHU LEAVES, OIL (BAROSMA SPP.)|68650-46-4|172.510
NUL|1776|BUCKBEAN LEAVES (MENYANTHES TRIFOLIATA L.)|977038-51-9|172.510
NUL|1775|BUCKBEAN LEAVES, EXTRACT (MENYANTHES TRIFOLIATA L.)|977038-52-0|172.510
ASP|0140|BUTADIENE-STYRENE RUBBER|9003-55-8|172.615,175.105,175.125,175.300,176.170,176.180,177.1010,177.1200,177.2600,177.2800,178.1005,178.3790,181.30
ASP|1058|4-(METHYLTHIO)BUTANAL|42919-64-2|
EAF|3981|BUTANAL DIBENZYL THIOACETAL|101780-73-8|
NUL|1777|N-BUTANE|106-97-8|173.350,184.1165
ASP|0142|1,3-BUTANEDITHIOL|24330-52-7|
ASP|0141|1,2-BUTANEDITHIOL|16128-68-0|
ASP|0143|2,3-BUTANEDITHIOL|4532-64-3|
ASP|0144|1-BUTANETHIOL|109-79-5|
ASP|0145|2-BUTANOL|78-92-2|172.515,176.180
ASP|0146|2-BUTANONE|78-93-3|172.515,172.859,175.105,175.320,177.1200
ASP|0147|BUTAN-3-ONE-2-YL BUTANOATE|84642-61-5|
EAF|1594|(E)-2-BUTENOIC ACID|3724-65-0|175.105,175.350,176.170,176.180
EAF|4053|4-(2-BUTENYLIDENE)-3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE|13215-88-8|
EAF|3811|3-BUTENYL ISOTHIOCYANATE|3386-97-8|
EAF|3335|1-BUTEN-1-YL METHYL SULFIDE|32951-19-2|
ASP|0149|BUTTER ACIDS|85536-25-0|172.515
ASP|0150|BUTTER ESTERS|977019-26-3|172.515
ASP|1779|BUTTER FAT, ENZYME-MODIFIED, WITH ADDED BUTYRIC ACID|977093-25-6|
ASP|1781|BUTTER STARTER DISTILLATE|977019-27-4|184.1848
ASP|0151|BUTYL ACETATE|123-86-4|172.515,175.105,175.320,177.1200
ASP|0152|BUTYL ACETOACETATE|591-60-6|172.515
ASP|0153|BUTYL ALCOHOL|71-36-3|172.515,172.560,175.105,175.320,176.180,176.200,176.210,177.1200,177.1440,177.1650,177.2800,73.1
ASP|0154|BUTYLAMINE|109-73-9|
EAF|3637|SEC-BUTYLAMINE|13952-84-6|
ASP|0155|BUTYL ANTHRANILATE|7756-96-9|172.515
ASP|1591|BUTYLATED HYDROXYANISOLE|25013-16-5|166.110,172.110,172.115,172.185,172.515,172.615,173.340,175.105,175.125,175.300,175.380,175.390,176.170,176.210,177.1010,177.1210,177.1350,178.3570,179.45,181.24,182.3169
ASP|1592|BUTYLATED HYDROXYTOLUENE|128-37-0|137.350,166.110,172.110,172.115,172.185,172.615,173.340,175.105,175.125,175.300,175.380,175.390,176.170,176.210,177.1010,177.1210,177.1350,177.2260,177.2600,178.2010,178.3570,179.45,181.24,182.3173
ASP|0156|2-BUTYL-2-BUTENAL|25409-08-9|
ASP|0157|BUTYL BUTYRATE|109-21-7|172.515
ASP|0158|BUTYL BUTYRYLLACTATE|7492-70-8|172.515
ASP|0159|ALPHA-BUTYLCINNAMALDEHYDE|7492-44-6|172.515
ASP|0160|BUTYL CINNAMATE|538-65-8|172.515
ASP|0162|BUTYL 2-DECENOATE|7492-45-7|172.515
ASP|0164|1,3-BUTYLENE GLYCOL|107-88-0|172.712,173.220,175.105,175.320,177.1200,177.1210,177.1680,177.2420,178.2010
EAF|3437|BUTYL ETHYL DISULFIDE|63986-03-8|
ASP|0166|BUTYL ETHYL MALONATE|17373-84-1|172.515
ASP|0167|BUTYL FORMATE|592-84-7|172.515
EAF|3491|2-BUTYLFURAN|4466-24-4|
NIL|0168|BUTYL HEPTANOATE|5454-28-4|172.515
ASP|0169|BUTYL HEXANOATE|626-82-4|172.515
ASP|0171|BUTYL P-HYDROXYBENZOATE|94-26-8|172.515
NIL|0148|ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE)|9038-95-3|173.310,173.340,175.105,177.1632,178.3570,178.3910
ASP|0172|3-BUTYLIDENEPHTHALIDE|551-08-6|
ASP|0173|BUTYL ISOBUTYRATE|97-87-0|172.515
EAF|3812|2-BUTYLISOTHIOCYANATE|4426-79-3|
EAF|3492|BUTYL ISOTHIOCYANATE|592-82-5|
ASP|0174|BUTYL ISOVALERATE|109-19-3|172.515
ASP|0176|BUTYL LACTATE|138-22-7|172.515,175.105
ASP|0177|BUTYL LAURATE|106-18-3|172.515,177.2600
ASP|0178|BUTYL LEVULINATE|2052-15-5|172.515
ASP|0179|N-BUTYL 2-METHYLBUTYRATE|15706-73-7|
EAF|3963|BUTYL BETA-(METHYLTHIO)ACRYLATE|77105-53-4|
EAF|4024|BUTYL BETA-NAPHTHYL ETHER|10484-56-7|
EAF|3063|BUTYL OLEATE SULFATE|38621-44-2|172.270,177.2800
ASP|0175|2-BUTYL-5 OR 6-KETO-1,4-DIOXANE|65504-95-2|
ASP|0180|BUTYL PHENYLACETATE|122-43-0|172.515
ASP|0181|3-N-BUTYLPHTHALIDE|6066-49-5|
ASP|0182|BUTYL PROPIONATE|590-01-2|172.515
ASP|0183|BUTYL SALICYLATE|2052-14-4|
ASP|0184|BUTYL STEARATE|123-95-5|172.515,173.340,175.105,175.300,175.320,176.200,177.1200,177.2260,177.2600,178.3910,181.27
ASP|0185|BUTYL SULFIDE|544-40-1|172.515
ASP|0186|BUTYL 10-UNDECENOATE|109-42-2|172.515
ASP|0187|BUTYL VALERATE|591-68-4|172.515
ASP|0188|BUTYRALDEHYDE|123-72-8|172.515,175.105,176.170
EAF|3649|BUTYRAMIDE|541-35-5|
ASP|0189|BUTYRIC ACID|107-92-6|182.60
EAF|3493|2-BUTYRYLFURAN|4208-57-5|
ASP|0190|CADINENE|29350-73-0|172.515
ASP|1593|CAFFEINE|58-08-2|182.1180
EAF|1782|CAJEPUT, OIL (MELALEUCA LEUCADENDRON L.)|8008-98-8|172.510
BAN|3237|CALAMUS EXTRACT--PROHIBITED|84775-39-3|189.110
BAN|1784|CALAMUS OIL--PROHIBITED|8015-79-0|189.110
BAN|1783|CALAMUS--PROHIBITED|977022-90-4|189.110
ASP|1785|CALCIUM ACETATE|62-54-4|175.300,181.29,182.6197,184.1185
ASP|1786|CALCIUM ASCORBATE|5743-27-1|182.3189
NUL|1787|CALCIUM BENZOATE|2090-05-3|166.110,178.2010
NIL|0191|CALCIUM BROMATE|10102-75-7|136.110
NUL|1788|CALCIUM CAPRATE|13747-30-3|172.863,175.300
NUL|1789|CALCIUM CAPRYLATE|6107-56-8|172.863,175.300
ASP|1790|CALCIUM CARBONATE|471-34-1|137.105,137.350,169.115,175.300,176.170,177.1600,177.1680,177.2260,178.3297,181.29,182.5191,184.1191,73.1070
ASP|1791|CALCIUM CASEINATE|9005-43-0|135.110,135.140,172.840
ASP|1792|CALCIUM CHLORIDE|10035-04-8|133.102,133.108,133.111,133.113,133.118,133.127,133.136,133.138,133.141,133.144,133.147,133.149,133.152,133.153,133.156,133.157,133.164,133.165,133.179,133.182,133.183,133.185,133.187,133.188,133.189,133.190,133.195,145.145,150.141,150.161,172.560,178.1010,184.1193
ASP|1793|CALCIUM CITRATE|813-94-5|133.169,133.173,133.179,150.141,150.161,182.6195,184.1195
BAN|1794|CALCIUM CYCLAMATE--PROHIBITED|5897-16-5|189.135
NUL|1795|CALCIUM DIGLUTAMATE|5996-22-5|
NUL|1797|CALCIUM FUMARATE|7718-51-6|172.350
ASP|1798|CALCIUM GLUCONATE|299-28-5|150.141,150.161,184.1199
ASP|1799|CALCIUM GLYCEROPHOSPHATE|27214-00-2|175.300,181.29,184.1201
NUL|1800|CALCIUM HEXAMETAPHOSPHATE|10102-76-8|182.6203
ASP|1801|CALCIUM HYDROXIDE|1305-62-0|135.110,176.180,176.210,184.1205,73.85
NUL|1802|CALCIUM HYPOPHOSPHITE|7789-79-9|
ASP|1803|CALCIUM IODATE|7789-80-2|136.110,184.1206,582.80
ASP|1804|CALCIUM LACTATE|814-80-2|145.145,150.141,150.161,184.1207
ASP|0192|CALCIUM LACTOBIONATE|5001-51-4|172.720
NUL|1805|CALCIUM LAURATE|4696-56-4|172.863
NUL|1806|CALCIUM LIGNOSULFONATE|8061-52-7|172.715,175.105,176.170,176.180,176.210
NUL|1807|CALCIUM MYRISTATE|15284-51-2|172.863,178.2010
NUL|1808|CALCIUM OLEATE|142-17-6|172.863,175.300,181.29
ASP|1809|CALCIUM OXIDE|1305-78-8|182.5210,184.1210
NUL|1810|CALCIUM PALMITATE|542-42-7|172.863,175.300
ASP|1811|CALCIUM PANTOTHENATE|137-08-6|184.1212
ASP|0193|CALCIUM PANTOTHENATE, CALCIUM CHLORIDE DOUBLE SALT|6363-38-8|172.330
ASP|1812|CALCIUM PEROXIDE|1305-79-9|136.110
ASP|1813|CALCIUM PHOSPHATE, DIBASIC|7757-93-9|137.105,175.300,181.29,182.1217,182.8217
ASP|1814|CALCIUM PHOSPHATE, MONOBASIC|7758-23-8|136.110,136.115,137.165,137.175,137.180,137.270,150.141,150.161,175.300,182.1217,182.6215,182.8217
ASP|1815|CALCIUM PHOSPHATE, TRIBASIC|7758-87-4|137.105,169.179,175.300,182.1217,182.8217
NIL|1816|CALCIUM PHYTATE|7776-28-5|
ASP|1817|CALCIUM PROPIONATE|4075-81-4|133.123,133.124,133.169,133.173,133.179,136.110,136.115,150.141,150.161,179.45,181.23,184.1221
ASP|1796|CALCIUM PYROPHOSPHATE|7790-76-3|182.8223
ASP|1818|CALCIUM SALTS OF FATTY ACIDS|977089-53-4|172.863,175.105
ASP|1819|CALCIUM SILICATE|1344-95-2|169.179,172.410,175.300,176.170,177.1680,177.2260,177.2355,178.3297,182.2227,182.2906,573.260
ASP|1820|CALCIUM SORBATE|7492-55-9|166.110,182.3225
ASP|1821|CALCIUM STEARATE|1592-23-0|169.179,172.863,173.340,175.300,177.2410,177.2600,178.1010,178.2010,179.45,181.29,184.1229
ASP|0194|CALCIUM STEAROYL-2-LACTYLATE|5793-94-2|172.844,176.170,177.1200
ASP|1822|CALCIUM SULFATE|7778-18-9|133.102,133.106,133.111,133.141,133.165,133.181,133.183,133.195,137.105,150.141,150.161,175.300,176.170,178.3297,184.1230
EAF|1824|CALUMBA ROOT (JATRORRHIZA PALMATA (LAM.) MIERS)|977000-55-7|172.510
NUL|1823|CALUMBA ROOT, EXTRACT (JATRORRHIZA PALMATA (LAM.) MIERS)|977000-74-0|172.510
ASP|0195|CAMPHENE|79-92-5|172.515
NIL|1825|CAMPHOLENE ACETATE|1727-68-0|
NIL|1826|ALPHA-CAMPHOLENIC ALCOHOL|1901-38-8|
ASP|0196|D-CAMPHOR|464-49-3|172.515
ASP|1827|CAMPHOR, JAPANESE, WHITE, OIL (CINNAMOMUM CAMPHORA (L.) NEES ET EBERM.)|8008-51-3|172.510
NUL|1828|CAMPHOR OIL, FORMOSAN HO-SHO, LEAVES (CINNAMOMUM CAMPHORA)|8022-91-1|
ASP|1829|CANANGA, OIL (CANANGA ODORATA HOOK. F. AND THOMS.)|68606-83-7|182.20
ASP|1830|CANDELILLA WAX (WAX FROM STEMS AND BRANCHES OF EUPHORBIA CERIFERA)|8006-44-8|175.105,175.320,176.180,184.1976
NUL|1831|CANDIDA GUILLIERMONDII|977075-47-0|173.160
NUL|1832|CANDIDA LIPOLYTICA|67892-25-5|173.165
ASP|0197|CANTHAXANTHIN|514-78-3|73.1075,73.75
ASP|1833|CAPERS (CAPPARIS SPINOSA L.)|977050-25-1|182.10
EAF|3632|CAPROLACTAM|105-60-2|176.180,177.1200,177.1500
ASP|1834|CAPSICUM (CAPSICUM SPP.)|977007-72-9|101.22,182.10,73.340
ASP|1835|CAPSICUM EXTRACT (CAPSICUM SPP.)|977018-42-0|182.20
ASP|1836|CAPSICUM, OLEORESIN (CAPSICUM SPP.)|8023-77-6|182.20,73.345
ASP|0198|CARAMEL|8028-89-5|182.1235,582.1235,73.1085,73.2085,73.85
ASP|1838|CARAWAY (CARUM CARVI L.)|977001-27-6|101.22,133.127,182.10
ASP|1837|CARAWAY, BLACK (NIGELLA SATIVA L.)|977017-84-7|182.10
ASP|1839|CARAWAY, OIL (CARUM CARVI L.)|8000-42-8|182.20
NUL|1840|CARBOHYDRASE AND CELLULASE FROM ASPERGILLUS NIGER|977050-27-3|173.120
NUL|1841|CARBOHYDRASE AND PROTEASE, MIXTURE, FROM BACILLUS SUBTILIS|977082-97-5|
ASP|1842|CARBOHYDRASE FROM ASPERGILLUS ORYZAE|977017-32-5|
EAF|3332|CARBOHYDRASE FROM BACILLUS AMYLOLIQUEFACIENS|977184-71-6|184.1148
NUL|1843|CARBOHYDRASE FROM BACILLUS LICHENIFORMIS|977043-27-8|
EAF|3333|CARBOHYDRASE FROM BACILLUS SUBTILIS|977031-70-1|184.1148
NUL|1844|CARBOHYDRASE FROM RHIZOPUS ORYZAE|977050-28-4|173.130
NUL|1845|CARBOHYDRASE FROM SACCHAROMYCES SPP.|977031-72-3|
EAF|3033|CARBOHYDRASE/PROTEINASE PREPARATION, BACILLUS LICHENIFORMIS|977083-17-2|184.1027
ASP|1847|CARBON DIOXIDE|124-38-9|165.110,169.115,169.140,169.150,184.1240
ASP|2969|CARBOXYMETHYL CELLULOSE|9000-11-7|175.105,175.300,182.70
ASP|1848|CARBOXYMETHYL CELLULOSE, SODIUM SALT|9004-32-4|133.178,133.179,150.141,150.161,173.310,175.105,182.1745
ASP|1849|CARBOXYMETHYL HYDROXYETHYL CELLULOSE|9004-30-2|177.1200
ASP|1850|CARDAMOM (ELLETARIA CARDAMOMUM (L.) MATON)|977005-95-0|101.22,182.10
ASP|1851|CARDAMOM OLEORESIN|977090-82-6|182.20
ASP|1852|CARDAMOM SEED, OIL (ELLETARIA CARDAMOMUM (L.) MATON)|8000-66-6|182.20
EAF|3249|3-CARENE|13466-78-9|
ASP|1853|CARMINE (COCCUS CACTI L.)|1390-65-4|73.100,73.1100,73.2087
ASP|1854|CARNAUBA WAX (COPERNICIA CERIFERA (ARRUDA) MART.)|8015-86-9|175.320,184.1978
ASP|2968|L-CARNITINE|541-15-1|
ASP|1855|CAROB BEAN, EXTRACT (CERATONIA SILIQUA L.)|84961-45-5|182.20
ASP|1857|BETA-CAROTENE|7235-40-7|101.9,166.110,184.1245,73.1095,73.2095,73.95
ASP|1858|CARRAGEENAN|9000-07-1|133.178,133.179,136.110,139.121,139.122,150.141,150.161,172.620,172.625,182.7255
NUL|1859|CARRAGEENAN, AMMONIUM SALT OF|60063-90-3|172.626
NUL|1860|CARRAGEENAN, AMMONIUM SALT OF, WITH POLYSORBATE 80|977089-28-3|
ASP|0199|CARRAGEENAN AND SALTS OF CARRAGEENAN|977043-69-8|136.110,139.121,139.122,150.141,150.161,172.626,176.170
ASP|1861|CARRAGEENAN, CALCIUM SALT OF|9049-05-2|172.626
NUL|1862|CARRAGEENAN, CALCIUM SALT OF, WITH POLYSORBATE 80|977089-29-4|
ASP|1863|CARRAGEENAN, POTASSIUM SALT OF|64366-24-1|172.626
NUL|1864|CARRAGEENAN, POTASSIUM SALT OF, WITH POLYSORBATE 80|977089-30-7|
NIL|0200|CARRAGEENAN SALTS WITH POLYSORBATE 80|977043-70-1|172.623
ASP|1865|CARRAGEENAN, SODIUM SALT OF|9061-82-9|172.626
NUL|1866|CARRAGEENAN, SODIUM SALT OF, WITH POLYSORBATE 80|977089-31-8|
NUL|1867|CARRAGEENAN WITH POLYSORBATE 80|977043-68-7|172.623
ASP|0201|CARROT, OIL (DAUCUS CAROTA L.)|8015-88-1|182.20,73.300
ASP|0202|CARVACROL|499-75-2|172.515
ASP|0203|CARVACRYL ETHYL ETHER|4732-13-2|172.515
ASP|0204|CARVEOL|99-48-9|172.515
ASP|0205|4-CARVOMENTHENOL|562-74-3|172.515
ASP|0206|CARVOMENTHOL|499-69-4|
ASP|0207|CARVONE|99-49-0|182.60
NIL|0208|CIS-CARVONE OXIDE|18383-49-8|172.515
ASP|0209|CARVYL ACETATE|97-42-7|172.515
EAF|3907|CARVYL PALMITATE|929222-96-8|
ASP|0210|CARVYL PROPIONATE|97-45-0|172.515
ASP|0211|BETA-CARYOPHYLLENE|87-44-5|172.515
ASP|0212|BETA-CARYOPHYLLENE ALCOHOL|472-97-9|
ASP|0213|CARYOPHYLLENE ALCOHOL|4586-22-5|172.515
NIL|0214|BETA-CARYOPHYLLENE ALCOHOL ACETATE|57082-24-3|
ASP|0215|CARYOPHYLLENE ALCOHOL ACETATE|17622-35-4|172.515
ASP|0216|BETA-CARYOPHYLLENE OXIDE|1139-30-6|172.515
ASP|1868|CASCARA, BITTERLESS, EXTRACT (RHAMNUS PURSHIANA DC.)|977090-83-7|172.510
EAF|1869|CASCARILLA BARK, EXTRACT (CROTON SPP.)|977083-53-6|182.20
EAF|1870|CASCARILLA BARK, OIL (CROTON SPP.)|8007-06-5|182.20
ASP|1871|CASEIN|9000-71-9|101.4,135.110,135.140,166.110,182.90
ASP|1935|CASSIA BUDS (CINNAMOMUM CASSIA BLUME)|977091-24-9|182.10,182.20
EAF|1872|CASSIE, ABSOLUTE (ACACIA FARNESIANA (L.) WILLD.)|977017-58-5|172.510
EAF|1873|CASTOREUM, EXTRACT (CASTOR SPP.)|8023-83-4|182.50
EAF|1874|CASTOREUM, LIQUID (CASTOR SPP.)|977016-89-9|182.50
ASP|0217|CASTOR OIL (RICINUS COMMUNIS L.)|8001-79-4|172.510,172.876,175.105,175.300,176.210,177.2600,177.2800,178.3520,178.3910,73.1
ASP|1875|CATALASE FROM ASPERGILLUS NIGER|977031-84-7|131.113,131.118,133.136,133.144,133.195
ASP|1876|CATALASE FROM BOVINE LIVER|81457-95-6|131.118,133.113,133.136,133.144,133.195,184.1034
ASP|1877|CATALASE FROM PENICILLIUM NOTATUM|977090-05-3|131.113,131.118,133.136,133.144,133.195
EAF|1878|CATECHU, BLACK, EXTRACT (ACACIA CATECHU WILLD.)|8001-76-1|172.510
ASP|1879|CATECHU, BLACK, POWDER (ACACIA CATECHU WILLD.)|977090-84-8|172.510
EAF|1880|CEDAR LEAF, OIL (THUJA OCCIDENTALIS L.)|8007-20-3|172.510
ASP|0218|CEDARWOOD OIL ALCOHOLS|68603-22-5|172.515
ASP|0219|CEDARWOOD OIL TERPENES|68608-32-2|172.515
EAF|3895|(+)-CEDROL|77-53-2|
ASP|0220|CEDRYL ACETATE|77-54-3|
ASP|1882|CELERY SEED (APIUM GRAVEOLENS L.)|977007-75-2|101.22,182.10
ASP|1883|CELERY SEED, EXTRACT (APIUM GRAVEOLENS L.)|89997-35-3|182.20
ASP|1884|CELERY SEED, EXTRACT SOLID (APIUM GRAVEOLENS L.)|977038-53-1|182.20
ASP|1885|CELERY SEED, OIL (APIUM GRAVEOLENS L.)|8015-90-5|182.20
ASP|1886|CELERY SEED, OLEORESIN|977090-86-0|182.20
EAF|3331|CELLULASE FROM TRICHODERMA LONGIBRACHIATUM|977122-87-4|184.1250
ASP|1887|CELLULOSE ACETATE|9004-35-7|175.300,182.90
EAF|3039|CELLULOSE, DIETHYLAMINOETHYL|9013-34-7|173.357
ASP|1888|CELLULOSE, METHYL|9004-67-5|150.141,150.161,175.105,175.210,175.300,176.200,177.2260,182.1480
ASP|0222|CELLULOSE, METHYL ETHYL|9004-59-5|172.872
ASP|1889|CELLULOSE, MICROCRYSTALLINE|977005-28-9|
EAF|3032|CELLULOSE TRIACETATE|9012-09-3|173.357
EAF|1890|CENTAURY (CENTAURIUM UMBELLATUM GILIB.)|977052-77-9|172.510
ASP|1891|CEREAL SOLIDS, HYDROLYZED|977104-98-5|
ASP|0630|CETYL ALCOHOL|36653-82-4|172.515,172.864,175.105,175.300,176.200,177.1200,73.1,73.1001
NIL|1895|CHAMOMILE FLOWER (MATRICARIA CHAMOMILLA L.)|977001-96-9|182.10
NUL|1892|CHAMOMILE FLOWER (ANTHEMIS NOBILIS L.)|977007-26-3|182.10
ASP|1894|CHAMOMILE FLOWER, HUNGARIAN, OIL (MATRICARIA CHAMOMILLA L.)|8002-66-2|182.20
ASP|1893|CHAMOMILE FLOWER, OIL (ANTHEMIS NOBILIS L.)|8015-92-7|182.20
ASP|1896|CHAMOMILE FLOWER, ROMAN, EXTRACT (ANTHEMIS NOBILIS L.)|84649-86-5|182.20
ASP|1897|CHAR SMOKE FLAVOR|977102-14-9|
ASP|1899|CHERRY BARK, WILD, EXTRACT (PRUNUS SEROTINA EHRH.)|84604-07-9|182.20
NUL|1901|CHERRY-LAUREL LEAVES (PRUNUS LAUROCERASUS L.)|977052-78-0|172.510
ASP|1902|CHERRY LAUREL, OIL (PRUNUS LAUROCERASUS L.) (FFPA)|8000-44-0|172.510
ASP|1903|CHERRY-LAUREL WATER (PRUNUS LAUROCERASUS L.)|977038-56-4|172.510
ASP|1904|CHERRY PITS, EXTRACT (PRUNUS SPP.)|977038-54-2|172.510
ASP|1905|CHERVIL (ANTHRISCUS CEREFOLIUM (L.) HOFFM.)|1338-80-3|101.22,182.10
NUL|1906|CHERVIL, EXTRACT (ANTHRISCUS CEREFOLIUM L.)|85085-20-7|182.20
NUL|1907|CHESTNUT LEAVES (CASTANEA DENTATA (MARSH.) BORKH.)|977052-79-1|172.510
EAF|1908|CHESTNUT LEAVES, EXTRACT (CASTANEA DENTATA (MARSH.) BORKH.)|977023-21-4|172.510
ASP|1909|CHESTNUT LEAVES, EXTRACT SOLID (CASTANEA DENTATA (MARSH.) BORKH.)|977038-58-6|172.510
ASP|0223|CHICLE (MANILKARA ZAPOTILLA GILLY AND M. CHICLE GILLY)|8021-77-0|172.615
ASP|0224|CHICLE, VENEZUELAN (MANILKARA WILLIAMSII STANDLEY AND RELATED SPP.)|977081-42-7|172.615
ASP|1910|CHICORY, EXTRACT (CICHORIUM INTYBUS L.)|68650-43-1|182.20
ASP|0225|CHILTE (CNIDOSCOLUS (ALSO KNOWN AS JATROPHA) SPP.)|977011-40-7|172.615
ASP|0226|CHIQUIBUL (MANILKARA ZAPOTILLA GILLY)|977052-58-6|172.615
NIL|1912|CHIRATA (SWERTIA CHIRATA BUCH.-HAM.)|977052-80-4|172.510
NIL|1911|CHIRATA, EXTRACT (SWERTIA CHIRATA BUCH.-HAM.)|90604-50-5|172.510
ASP|1913|CHIVES (ALLIUM SCHOENOPRASUM L.)|977050-37-5|182.10
ASP|1914|CHLORINE|7782-50-5|137.105,137.200
ASP|1915|CHLORINE DIOXIDE|10049-04-4|137.105,137.200,173.300,178.1010
ASP|1916|CHLORINE SOLUTION, AQUEOUS|977091-22-7|
NUL|2964|CHLOROFLUOROCARBON 113|76-13-1|173.342
BAN|1917|CHLOROFLUOROCARBONS--PROHIBITED|977084-30-2|101.17,189.191,2.125
NUL|1918|CHLOROFORM|67-66-3|175.105,177.1580,177.1585
NUL|1919|CHLOROMETHYL METHYL ETHER|107-30-2|173.20
ASP|0227|CHLOROPENTAFLUOROETHANE|76-15-3|173.345
ASP|1920|CHLOROPHYLL|1406-65-1|
NUL|1923|CHOLIC ACID|81-25-4|
ASP|1924|CHOLINE BITARTRATE|87-67-2|182.8250
ASP|1925|CHOLINE CHLORIDE|67-48-1|182.8252
EAF|3892|CHOLINE CHLORIDE(ALSO INCLUDES CHOLINE)|977188-01-4|
EAF|4078|CHRYSANTHEMUM EXTRACT|223748-32-1|
EAF|3029|CHYMOSIN PREPARATION, ASPERGILLUS NIGER VAR. AWAMORI|977165-51-7|184.1685
EAF|3027|CHYMOSIN PREPARATION, ESCHERICHIA COLI K-12|977165-50-6|184.1685
EAF|3028|CHYMOSIN PREPARATION, KLUYVEROMYCES MARXIANUS VAR. LACTIS|977156-61-8|184.1685
ASP|1926|CINCHONA BARK, RED (CINCHONA SUCCIRUBRA PAV. OR ITS HYBRIDS)|977052-81-5|172.510
ASP|1927|CINCHONA BARK, RED, EXTRACT (CINCHONA SUCCIRUBRA PAV. OR ITS HYBRIDS)|977038-61-1|172.510
ASP|1928|CINCHONA BARK, YELLOW (CINCHONA SPP.)|977052-82-6|172.510
ASP|1929|CINCHONA BARK, YELLOW, EXTRACT (CINCHONA SPP.)|977083-24-1|172.510
ASP|1930|CINCHONA, EXTRACT (CINCHONA SPP.)|68990-12-5|172.510
ASP|0228|1,4-CINEOLE|470-67-7|172.515
ASP|0229|CINNAMALDEHYDE|104-55-2|182.60
ASP|0230|CINNAMALDEHYDE ETHYLENE GLYCOL ACETAL|5660-60-6|172.515
EAF|3987|CINNAMALDEHYDE PROPYLENEGLYCOL ACETAL|4353-01-9|
ASP|0231|CINNAMIC ACID|621-82-9|172.515
ASP|1934|CINNAMON (CINNAMOMUM SPP.)|977000-66-0|101.22,182.10
ASP|1931|CINNAMON BARK, EXTRACT (CINNAMOMUM SPP.)|977038-60-0|182.20
ASP|1932|CINNAMON BARK, OIL (CINNAMOMUM SPP.)|8007-80-5|182.20
ASP|1933|CINNAMON BARK OLEORESIN, CEYLON, CHINESE, OR SAIGON (CINNAMOMUM SPP.)|977091-23-8|182.20
